RuleId,Description,Action,Status,Exclusions,RuleGroup,RuleSet
200002,Failed to Parse Request Body.,Anomaly score,Enabled,,General,OWASP_3.2
200003,Multipart Request Body Strict                                Validation.,Anomaly score,Enabled,,General,OWASP_3.2
200004,Possible Multipart Unmatched                                Boundary.,Anomaly score,Enabled,,General,OWASP_3.2
911100,Method is not allowed by                                policy,Anomaly score,Enabled,,REQUEST-911-METHOD-ENFORCEMENT,OWASP_3.2
913100,Found User-Agent associated                                with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913101,Found User-Agent associated                                with scripting/generic HTTP client,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913102,Found User-Agent associated                                with web crawler/bot,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913110,Found request header                                associated with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
913120,Found request                                filename/argument associated with security scanner,Anomaly score,Enabled,,REQUEST-913-SCANNER-DETECTION,OWASP_3.2
920100,Invalid HTTP Request Line,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920120,Attempted multipart/form-data                                bypass,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920121,Attempted multipart/form-data                                bypass,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920160,Content-Length HTTP header is                                not numeric.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920170,GET or HEAD Request with Body                                Content.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920171,GET or HEAD Request with                                Transfer-Encoding.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920180,POST request missing                                Content-Length Header.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920190,Range: Invalid Last Byte                                Value.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920200,Range: Too many fields (6 or                                more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920201,Range: Too many fields for pdf                                request (35 or more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920202,Range: Too many fields for pdf                                request (6 or more),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920210,Multiple/Conflicting                                Connection Header Data Found.,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920220,URL Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920230,Multiple URL Encoding Detected,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920240,URL Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920250,UTF8 Encoding Abuse Attack                                Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920260,Unicode Full/Half Width Abuse                                Attack Attempt,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920270,Invalid character in request                                (null character),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920271,Invalid character in request                                (non printable characters),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920272,Invalid character in request                                (outside of printable chars below ascii 127),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920273,Invalid character in request                                (outside of very strict set),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920274,Invalid character in request                                headers (outside of very strict set),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920280,Request Missing a Host Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920290,Empty Host Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920300,Request Missing an Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920310,Request Has an Empty Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920311,Request Has an Empty Accept                                Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920320,Missing User Agent Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920330,Empty User Agent Header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920340,"Request Containing Content,                                but Missing Content-Type header",Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920341,Request containing content                                requires Content-Type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920350,Host header is a numeric IP                                address,Anomaly score,Disabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920420,Request content type is not                                allowed by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920430,HTTP protocol version is not                                allowed by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920440,URL file extension is                                restricted by policy,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920450,HTTP header is restricted by                                policy (%{MATCHED_VAR}),Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920460,Abnormal Escape Characters,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920470,Illegal Content-Type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
920480,Restrict charset parameter                                within the content-type header,Anomaly score,Enabled,,REQUEST-920-PROTOCOL-ENFORCEMENT,OWASP_3.2
921110,HTTP Request Smuggling Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921120,HTTP Response Splitting Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921130,HTTP Response Splitting Attack,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921140,HTTP Header Injection Attack                                via headers,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921150,HTTP Header Injection Attack                                via payload (CR/LF detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921151,HTTP Header Injection Attack                                via payload (CR/LF detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921160,HTTP Header Injection Attack                                via payload (CR/LF and header-name detected),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921170,HTTP Parameter Pollution,Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
921180,HTTP Parameter Pollution                                (%{TX.1}),Anomaly score,Enabled,,REQUEST-921-PROTOCOL-ATTACK,OWASP_3.2
930100,Path Traversal Attack (/../),Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
930110,Path Traversal Attack (/../),Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
930120,OS File Access Attempt,Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
930130,Restricted File Access Attempt,Anomaly score,Enabled,,REQUEST-930-APPLICATION-ATTACK-LFI,OWASP_3.2
931100,Possible Remote File Inclusion                                (RFI) Attack: URL Parameter using IP Address,Anomaly score,Enabled,,REQUEST-931-APPLICATION-ATTACK-RFI,OWASP_3.2
931110,Possible Remote File Inclusion                                (RFI) Attack: Common RFI Vulnerable Parameter Name                                used w/URL Payload,Anomaly score,Enabled,,REQUEST-931-APPLICATION-ATTACK-RFI,OWASP_3.2
931120,Possible Remote File Inclusion                                (RFI) Attack: URL Payload Used w/Trailing Question                                Mark Character (?),Anomaly score,Enabled,,REQUEST-931-APPLICATION-ATTACK-RFI,OWASP_3.2
931130,Possible Remote File Inclusion                                (RFI) Attack: Off-Domain Reference/Link,Anomaly score,Enabled,,REQUEST-931-APPLICATION-ATTACK-RFI,OWASP_3.2
932100,Remote Command Execution: Unix                                Command Injection,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932105,Remote Command Execution: Unix                                Command Injection,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932106,Remote Command Execution: Unix                                Command Injection,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932110,Remote Command Execution:                                Windows Command Injection,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932115,Remote Command Execution:                                Windows Command Injection,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932120,Remote Command Execution:                                Windows PowerShell Command Found,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932130,Remote Command Execution: Unix                                Shell Expression Found,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932140,Remote Command Execution:                                Windows FOR/IF Command Found,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932150,Remote Command Execution:                                Direct Unix Command Execution,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932160,Remote Command Execution: Unix                                Shell Code Found,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932170,Remote Command Execution:                                Shellshock (CVE-2014-6271),Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932171,Remote Command Execution:                                Shellshock (CVE-2014-6271),Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932180,Restricted File Upload Attempt,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
932190,Remote Command Execution:                                Wildcard bypass technique attempt,Anomaly score,Enabled,,REQUEST-932-APPLICATION-ATTACK-RCE,OWASP_3.2
933100,PHP Injection Attack:                                Opening/Closing Tag Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933110,PHP Injection Attack: PHP                                Script File Upload Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933111,PHP Injection Attack: PHP                                Script File Upload Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933120,PHP Injection Attack:                                Configuration Directive Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933130,PHP Injection Attack:                                Variables Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933131,PHP Injection Attack:                                Variables Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933140,PHP Injection Attack: I/O                                Stream Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933150,PHP Injection Attack:                                High-Risk PHP Function Name Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933151,PHP Injection Attack:                                Medium-Risk PHP Function Name Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933160,PHP Injection Attack:                                High-Risk PHP Function Call Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933161,PHP Injection Attack:                                Low-Value PHP Function Call Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933170,PHP Injection Attack:                                Serialized Object Injection,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933180,PHP Injection Attack: Variable                                Function Call Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933190,PHP Injection Attack: PHP                                Closing Tag Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933200,PHP Injection Attack: Wrapper                                scheme detected,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
933210,PHP Injection Attack: Variable                                Function Call Found,Anomaly score,Enabled,,REQUEST-933-APPLICATION-ATTACK-PHP,OWASP_3.2
941100,XSS Attack Detected via                                libinjection,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941101,XSS Attack Detected via                                libinjection.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941110,XSS Filter - Category 1:                                Script Tag Vector,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941120,XSS Filter - Category 2: Event                                Handler Vector,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941130,XSS Filter - Category 3:                                Attribute Vector,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941140,XSS Filter - Category 4:                                Javascript URI Vector,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941150,XSS Filter - Category 5:                                Disallowed HTML Attributes,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941160,NoScript XSS InjectionChecker:                                HTML Injection,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941170,NoScript XSS InjectionChecker:                                Attribute Injection,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941180,Node-Validator Blacklist                                Keywords,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941190,XSS Using style sheets,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941200,XSS using VML frames,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941210,XSS using obfuscated                                JavaScript,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941220,XSS using obfuscated VB Script,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941230,XSS using 'embed' tag,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941240,XSS using 'import' or                                'implementation' attribute,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941250,IE XSS Filters - Attack                                Detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941260,XSS using 'meta' tag,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941270,XSS using 'link' href,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941280,XSS using 'base' tag,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941290,XSS using 'applet' tag,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941300,XSS using 'object' tag,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941310,US-ASCII Malformed Encoding                                XSS Filter - Attack Detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941320,Possible XSS Attack Detected -                                HTML Tag Handler,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941330,IE XSS Filters - Attack                                Detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941340,IE XSS Filters - Attack                                Detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941350,UTF-7 Encoding IE XSS - Attack                                Detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
941360,JavaScript obfuscation                                detected.,Anomaly score,Enabled,,REQUEST-941-APPLICATION-ATTACK-XSS,OWASP_3.2
942100,SQL Injection Attack Detected                                via libinjection,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942110,SQL Injection Attack: Common                                Injection Testing Detected,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942120,SQL Injection Attack: SQL                                Operator Detected,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942130,SQL Injection Attack: SQL                                Tautology Detected.,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942140,SQL Injection Attack: Common                                DB Names Detected,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942150,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942160,Detects blind sqli tests using                                sleep() or benchmark().,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942170,Detects SQL benchmark and                                sleep injection attempts including conditional                                queries,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942180,Detects basic SQL                                authentication bypass attempts 1/3,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942190,Detects MSSQL code execution                                and information gathering attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942200,Detects MySQL                                comment-/space-obfuscated injections and backtick                                termination,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942210,Detects chained SQL injection                                attempts 1/2,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942220,"Looking for intiger overflow                                attacks, these are taken from skipfish, except                                3.0.00738585072007e-308 is the \""magic number\""                                crash",Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942230,Detects conditional SQL                                injection attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942240,Detects MySQL charset switch                                and MSSQL DoS attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942250,"Detects MATCH AGAINST, MERGE                                and EXECUTE IMMEDIATE injections",Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942251,Detects HAVING injections,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942260,Detects basic SQL                                authentication bypass attempts 2/3,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942270,"Looking for basic sql                                injection. Common attack string for mysql, oracle                                and others.",Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942280,"Detects Postgres pg_sleep                                injection, waitfor delay attacks and database                                shutdown attempts",Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942290,Finds basic MongoDB SQL                                injection attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942300,"Detects MySQL comments,                                conditions and ch(a)r injections",Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942310,Detects chained SQL injection                                attempts 2/2,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942320,Detects MySQL and PostgreSQL                                stored procedure/function injections,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942330,Detects classic SQL injection                                probings 1/2,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942340,Detects basic SQL                                authentication bypass attempts 3/3,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942350,Detects MySQL UDF injection                                and other data/structure manipulation attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942360,Detects concatenated basic SQL                                injection and SQLLFI attempts,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942361,Detects basic SQL injection                                based on keyword alter or union,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942370,Detects classic SQL injection                                probings 2/2,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942380,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942390,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942400,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942410,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942420,Restricted SQL Character                                Anomaly Detection (cookies): # of special characters                                exceeded (8),Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942421,Restricted SQL Character                                Anomaly Detection (cookies): # of special characters                                exceeded (3),Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942430,Restricted SQL Character                                Anomaly Detection (args): # of special characters                                exceeded (12),Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942431,Restricted SQL Character                                Anomaly Detection (args): # of special characters                                exceeded (6),Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942432,Restricted SQL Character                                Anomaly Detection (args): # of special characters                                exceeded (2),Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942440,SQL Comment Sequence Detected.,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942450,SQL Hex Encoding Identified,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942460,Meta-Character Anomaly                                Detection Alert - Repetitive Non-Word Characters,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942470,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942480,SQL Injection Attack,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942490,Detects classic SQL injection                                probings 3/3,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
942500,MySQL in-line comment                                detected.,Anomaly score,Enabled,,REQUEST-942-APPLICATION-ATTACK-SQLI,OWASP_3.2
943100,Possible Session Fixation                                Attack: Setting Cookie Values in HTML,Anomaly score,Enabled,,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,OWASP_3.2
943110,Possible Session Fixation                                Attack: SessionID Parameter Name with Off-Domain                                Referer,Anomaly score,Enabled,,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,OWASP_3.2
943120,Possible Session Fixation                                Attack: SessionID Parameter Name with No Referer,Anomaly score,Enabled,,REQUEST-943-APPLICATION-ATTACK-SESSION-FIXATION,OWASP_3.2
944100,"Remote Command Execution:                                Apache Struts, Oracle WebLogic",Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944110,Detects potential payload                                execution,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944120,Possible payload execution and                                remote command execution,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944130,Suspicious Java classes,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944200,Exploitation of Java                                deserialization Apache Commons,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944210,Possible use of Java                                serialization,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944240,Remote Command Execution: Java                                serialization,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
944250,Remote Command Execution:                                Suspicious Java method detected,Anomaly score,Enabled,,REQUEST-944-APPLICATION-ATTACK-JAVA,OWASP_3.2
800100,"Rule to help detect and                                mitigate log4j vulnerability - CVE-2021-44228,                                CVE-2021-45046",Anomaly score,Enabled,,Known-CVEs,OWASP_3.2
800110,Spring4Shell Interaction                                Attempt,Anomaly score,Enabled,,Known-CVEs,OWASP_3.2
800111,Attempted Spring Cloud                                routing-expression injection - CVE-2022-22963,Anomaly score,Enabled,,Known-CVEs,OWASP_3.2
800112,Attempted Spring Framework                                unsafe class object exploitation - CVE-2022-22965,Anomaly score,Enabled,,Known-CVEs,OWASP_3.2
800113,Attempted Spring Cloud Gateway                                Actuator injection - CVE-2022-22947,Anomaly score,Enabled,,Known-CVEs,OWASP_3.2
800114,Attempted Apache Struts file                                upload exploitation - CVE-2023-50164,Log,Enabled,,Known-CVEs,OWASP_3.2
